State Name,Dist Name,RICE YIELD (Kg per ha),MAIZE YIELD (Kg per ha),CHICKPEA YIELD (Kg per ha),PIGEONPEA YIELD (Kg per ha),COTTON YIELD (Kg per ha)
Himachal Pradesh,Bilashpur,1420.385,1831.1200000000001,529.909,23.055500000000002,137.1625
Himachal Pradesh,Chamba,1301.0485,2505.27925,27.884500000000003,10.0,0.0
Himachal Pradesh,Kangra,1340.3912500000001,1758.091,679.22675,111.88175000000001,256.82575
Himachal Pradesh,Kinnaur,1207.291,2163.0955000000004,0.0,0.0,0.0
Himachal Pradesh,Kullu,1315.2395000000001,2519.2599999999998,393.46925,18.3835,0.0
Himachal Pradesh,Lahul & Spiti,0.0,1775.575,0.0,41.6665,0.0
Himachal Pradesh,Mandi,1233.2765,1869.38325,617.1792499999999,0.0,2.125
Himachal Pradesh,Shimla,1063.3825000000002,2185.3925,443.75,97.8605,0.0
Himachal Pradesh,Sirmaur,1375.44025,2536.4900000000002,663.9984999999999,115.8335,275.99175
Himachal Pradesh,Solan,1725.52825,2085.382,574.00275,136.51675,249.873
Jharkhand,Dhanbad,1319.7913157894736,998.5773684210527,647.1576315789473,1409.9255263157895,0.0
Jharkhand,Hazaribagh,1228.445,1180.3015789473684,752.2523684210527,1073.2194736842107,0.0
Jharkhand,Palamau,1045.155,939.9621052631578,564.2981578947368,913.5647368421053,26.31578947368421
Jharkhand,Ranchi,1102.6252631578948,1355.1873684210527,647.8052631578947,991.8434210526317,8.771842105263158
Jharkhand,Santhal Paragana / Dumka,1372.6113157894738,1357.7147368421054,751.3102631578947,1061.7334210526317,0.0
Jharkhand,Singhbhum,1153.499210526316,1231.5523684210525,691.9373684210526,942.4373684210527,0.0
Karnataka,Bangalore,2405.6502499999997,3319.29475,446.11274999999995,640.83275,9.0
Karnataka,Belgaum,1520.37325,2746.47575,453.74775,376.86975,291.07399999999996
Karnataka,Bellary,3058.39725,2982.97375,518.22675,507.88925,275.957
Karnataka,Bidar,995.84025,2443.318,542.205,717.0074999999999,217.5565
Karnataka,Bijapur / Vijayapura,1859.7259999999999,2854.65625,451.77650000000006,415.31075,236.47224999999997
Karnataka,Chickmagalur,2341.62775,2648.193,506.11325,472.6785,219.82049999999998
Karnataka,Chitradurga,3068.65175,2928.5695,402.06475,684.3207500000001,247.31325
Karnataka,Dakshina Kannada,2153.358,982.9165,25.0,0.0,0.0
Karnataka,Dharwad,1291.39175,2534.1515,403.08925,457.21025,198.35525
Karnataka,Gulbarga / Kalaburagi,2006.7195,2481.4387500000003,568.06825,500.52625,358.335
Karnataka,Hassan,2469.50975,3153.55425,507.64799999999997,453.99025,276.00975
Karnataka,Kodagu / Coorg,2334.916,3218.9787499999998,230.20825,25.0,16.66675
